v8-version,5,8,283,41,0
code-creation,Builtin,5,0x205fd2a04000,134,"EmptyFunction"
code-creation,Stub,3,0x205fd2a040a0,382,"CEntryStub"
code-creation,Builtin,5,0x205fd2a04220,139,"ConstructedNonConstructable"
code-creation,Stub,3,0x205fd2a042c0,382,"CEntryStub"
code-creation,Builtin,5,0x205fd2a04440,653,"CompileLazy"
code-creation,Stub,3,0x205fd2a046e0,1358,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a04c40,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x205fd2a04d00,1386,"RecordWriteStub"
code-creation,Builtin,5,0x205fd2a05280,299,"JSConstructStubGeneric"
code-creation,Builtin,5,0x205fd2a053c0,674,"FastNewObject"
code-creation,Builtin,5,0x205fd2a05680,327,"ArgumentsAdaptorTrampoline"
code-creation,Handler,4,0x205fd2a057e0,256,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a058e0,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a05aa0,565,"CEntryStub"
code-creation,Stub,16,0x205fd2a05ce0,423,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a05ea0,2295,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a067a0,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x205fd2a06940,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a07220,2296,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a07b20,2253,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a08400,208,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a084e0,463,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a086c0,2253,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a08fa0,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a091a0,2241,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a09a80,268,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a09ba0,185,"DoubleToIStub"
code-creation,Stub,3,0x205fd2a09c60,2269,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a0a540,2270,"RecordWriteStub"
code-creation,Stub,18,0x205fd2a0ae20,196,"ToBooleanICStub"
code-creation,Stub,3,0x205fd2a0af00,2279,"RecordWriteStub"
code-creation,Stub,17,0x205fd2a0b800,157,"CompareICStub"
code-creation,Stub,3,0x205fd2a0b8a0,1038,"CallICStub"
code-creation,Builtin,5,0x205fd2a0bcc0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x205fd2a0be40,459,"ToObject"
code-creation,Stub,3,0x205fd2a0c020,2250,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a0c900,466,"ArrayConstructorStub"
code-creation,Stub,3,0x205fd2a0cae0,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0cc40,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0cda0,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0cee0,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0d020,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0d160,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0x205fd2a0d2a0,121,"Abort"
code-creation,Stub,3,0x205fd2a0d320,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0d500,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0d6c0,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0d8a0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0da60,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x205fd2a0dae0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0dc20,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a0dde0,471,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,0x205fd2a0dfc0,238,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0x205fd2a0e0c0,249,"CallBoundFunction"
code-creation,Stub,3,0x205fd2a0e1c0,2292,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a0eac0,980,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a0eea0,2238,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a0f760,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a10040,1373,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a105a0,272,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a106c0,423,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a10880,391,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a10a20,1004,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a10e20,2280,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a11720,427,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a118e0,1373,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a11e40,2284,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a12740,280,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a12860,256,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a12960,232,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a12a60,2284,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a13360,2288,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a13c60,2250,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a14540,391,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a146e0,2265,"RecordWriteStub"
code-creation,Stub,17,0x205fd2a14fc0,179,"CompareICStub"
code-creation,Stub,16,0x205fd2a15080,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a15160,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a15240,2275,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a15b40,2257,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a16420,2272,"RecordWriteStub"
code-creation,Stub,18,0x205fd2a16d00,212,"ToBooleanICStub"
code-creation,Stub,3,0x205fd2a16de0,2253,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a176c0,2241,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a17fa0,2326,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a188c0,216,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a189a0,980,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a18d80,2241,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a19660,2272,"RecordWriteStub"
code-creation,Handler,4,0x205fd2a19f40,296,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a1a080,2295,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a1a980,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a1aa60,2285,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a1b360,272,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1b480,391,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1b620,419,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1b7e0,423,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a1b9a0,688,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a1bc60,2254,"RecordWriteStub"
code-creation,Handler,4,0x205fd2a1c540,688,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a1c800,268,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1c920,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a1c9c0,895,"RegExpExecStub"
code-creation,Stub,3,0x205fd2a1cd40,1617,"GetPropertyStub"
code-creation,Builtin,5,0x205fd2a1d3a0,238,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x205fd2a1d4a0,384,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x205fd2a1d620,2300,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a1df20,2269,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a1e800,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a1f0e0,189,"DoubleToIStub"
code-creation,Stub,16,0x205fd2a1f1a0,427,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1f360,216,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1f440,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a1f520,2291,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a1fe20,268,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a1ff40,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a20020,240,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a20120,272,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a20240,451,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a20420,2275,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a20d20,980,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a21100,208,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a211e0,2229,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a21aa0,387,"CreateWeakCellStub"
code-creation,Stub,3,0x205fd2a21c40,2292,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a22540,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a225e0,304,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a22720,732,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a22a00,2266,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a232e0,268,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a23400,2276,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a23d00,2263,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a245e0,365,"CEntryStub"
code-creation,Stub,16,0x205fd2a24760,427,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a24920,2242,"RecordWriteStub"
code-creation,Handler,4,0x205fd2a25200,308,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a25340,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a25420,982,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a25800,1004,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a25c00,1808,"StringAddStub"
code-creation,Stub,3,0x205fd2a26320,1038,"CallICStub"
code-creation,Stub,3,0x205fd2a26740,980,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a26b20,342,"JSEntryStub"
code-creation,Stub,3,0x205fd2a26c80,124,"CallICTrampolineStub"
code-creation,Stub,3,0x205fd2a26d00,2317,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a27620,1403,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a27ba0,1412,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a28140,268,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a28260,455,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a28440,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a28520,304,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a28660,972,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a28a40,2254,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a29320,2284,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a29c20,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a29cc0,183,"DoubleToIStub"
code-creation,Stub,3,0x205fd2a29d80,2241,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2a660,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2a740,980,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2ab20,272,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2ac40,342,"JSEntryStub"
code-creation,Stub,16,0x205fd2a2ada0,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a2ae80,208,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a2af60,240,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2b060,2300,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a2b960,2266,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2c240,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a2c320,276,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a2c440,268,"BinaryOpICStub"
code-creation,Stub,17,0x205fd2a2c560,179,"CompareICStub"
code-creation,Stub,3,0x205fd2a2c620,2280,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a2cf20,2266,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2d800,216,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a2d8e0,744,"An IC handler from the snapshot"
code-creation,Stub,16,0x205fd2a2dbe0,395,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2dd80,423,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x205fd2a2df40,2265,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2e820,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2e8c0,996,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a2ecc0,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a2eda0,483,"CreateAllocationSiteStub"
code-creation,Stub,3,0x205fd2a2efa0,2269,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a2f880,974,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a2fc60,2266,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a30540,2292,"RecordWriteStub"
code-creation,Handler,4,0x205fd2a30e40,780,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a31160,2241,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a31a40,391,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a31be0,216,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a31cc0,196,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a31da0,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a31e40,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x205fd2a31ec0,1260,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x205fd2a323c0,1002,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a327c0,216,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a328a0,2242,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a33180,1391,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a33700,613,"StringAddStub"
code-creation,Builtin,5,0x205fd2a33980,298,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,0x205fd2a33ac0,364,"OrdinaryToPrimitive_Number"
code-creation,Stub,16,0x205fd2a33c40,196,"BinaryOpICStub"
code-creation,Handler,4,0x205fd2a33d20,780,"An IC handler from the snapshot"
code-creation,Handler,4,0x205fd2a34040,308,"An IC handler from the snapshot"
code-creation,Stub,3,0x205fd2a34180,2292,"RecordWriteStub"
code-creation,Stub,3,0x205fd2a34a80,2311,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a353a0,196,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a35480,357,"MathPowStub"
code-creation,Stub,16,0x205fd2a35600,391,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a357a0,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a35840,216,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a35920,2266,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a36200,395,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a363a0,183,"DoubleToIStub"
code-creation,Stub,3,0x205fd2a36460,183,"DoubleToIStub"
code-creation,Stub,16,0x205fd2a36520,395,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a366c0,141,"BinaryOpICStub"
code-creation,Stub,16,0x205fd2a36760,276,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a36880,2265,"RecordWriteStub"
code-creation,Stub,16,0x205fd2a37160,141,"BinaryOpICStub"
code-creation,Stub,3,0x205fd2a37200,2292,"RecordWriteStub"
